Headline
Eleven killed after plane carrying skydivers crashes in eastern France
Europe's deadly heatwave breaks German record and halts public events
Burkina Faso severs diplomatic ties with France
Every France player touched the ball for Dembele's third
Debris falls after plane hits Beijing's tallest building
Eight dead after US Air Force B-52 bomber crashes in California
"A year on, six questions still haunt the Air India crash investigation"
'They didn't have time to jump' -   Witnesses recall skydiving plane crash
"More time needed for deadly Air India crash inquiry, officials say"
The BBC is in multiple languages
